id,oai_dc:dc,oai_dc:dc/dc:title,oai_dc:dc/dc:creator,oai_dc:dc/dc:source,oai_dc:dc/dc:publisher,oai_dc:dc/dc:date,oai_dc:dc/dc:type,oai_dc:dc/dc:format,oai_dc:dc/dc:identifier,oai_dc:dc/dc:description,oai_dc:dc/dc:language,oai_dc:dc/dc:rights,oai_dc:dc/dc:coverage,oai_dc:dc/dc:subject,oai_dc:dc/dc:relation,date
oai:pangaea.de:doi:10.1594/PANGAEA.510729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-08-29
oai:pangaea.de:doi:10.1594/PANGAEA.510744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-01-15
oai:pangaea.de:doi:10.1594/PANGAEA.510751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-04-16
oai:pangaea.de:doi:10.1594/PANGAEA.510755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-03-16
oai:pangaea.de:doi:10.1594/PANGAEA.510760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2001-04-27
oai:pangaea.de:doi:10.1594/PANGAEA.510762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-27
oai:pangaea.de:doi:10.1594/PANGAEA.510764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-27
oai:pangaea.de:doi:10.1594/PANGAEA.510765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-21
oai:pangaea.de:doi:10.1594/PANGAEA.510766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-21
oai:pangaea.de:doi:10.1594/PANGAEA.510767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-22
oai:pangaea.de:doi:10.1594/PANGAEA.510769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-30
oai:pangaea.de:doi:10.1594/PANGAEA.510772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-22
oai:pangaea.de:doi:10.1594/PANGAEA.510773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-04-22
oai:pangaea.de:doi:10.1594/PANGAEA.510837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-09-13
oai:pangaea.de:doi:10.1594/PANGAEA.525770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-09-28
oai:pangaea.de:doi:10.1594/PANGAEA.526941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-10-05
oai:pangaea.de:doi:10.1594/PANGAEA.527976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-10-11
oai:pangaea.de:doi:10.1594/PANGAEA.536199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-10-13
oai:pangaea.de:doi:10.1594/PANGAEA.547755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-11-01
oai:pangaea.de:doi:10.1594/PANGAEA.547786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-11-01
oai:pangaea.de:doi:10.1594/PANGAEA.547942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-11-03
oai:pangaea.de:doi:10.1594/PANGAEA.547981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-08-03
oai:pangaea.de:doi:10.1594/PANGAEA.547983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2008-11-06
oai:pangaea.de:doi:10.1594/PANGAEA.547989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-11-07
oai:pangaea.de:doi:10.1594/PANGAEA.548021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-11-07
oai:pangaea.de:doi:10.1594/PANGAEA.548070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2003-09-30
oai:pangaea.de:doi:10.1594/PANGAEA.548396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1970-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1970-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1971-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1971-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1971-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1976-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1977-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1976-11-14
oai:pangaea.de:doi:10.1594/PANGAEA.548463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1978-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1978-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1979-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1979-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1980-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1980-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548470,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1980-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1981-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1981-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1982-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1983-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1983-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1984-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1984-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548490,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1986-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1986-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1986-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1986-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1977-11-15
oai:pangaea.de:doi:10.1594/PANGAEA.548501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-11-16
oai:pangaea.de:doi:10.1594/PANGAEA.548525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-11-16
oai:pangaea.de:doi:10.1594/PANGAEA.548620,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1999-09-28
oai:pangaea.de:doi:10.1594/PANGAEA.548698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-11-21
oai:pangaea.de:doi:10.1594/PANGAEA.548699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1988-11-21
oai:pangaea.de:doi:10.1594/PANGAEA.548752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1994-11-22
oai:pangaea.de:doi:10.1594/PANGAEA.548753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-11-22
oai:pangaea.de:doi:10.1594/PANGAEA.549050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-11-23
oai:pangaea.de:doi:10.1594/PANGAEA.549058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1986-03-26
oai:pangaea.de:doi:10.1594/PANGAEA.549061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1989-11-24
oai:pangaea.de:doi:10.1594/PANGAEA.549062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1986-11-24
oai:pangaea.de:doi:10.1594/PANGAEA.552044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-11-29
oai:pangaea.de:doi:10.1594/PANGAEA.552126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1990-11-29
oai:pangaea.de:doi:10.1594/PANGAEA.552177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1990-09-22
oai:pangaea.de:doi:10.1594/PANGAEA.552179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-11-29
oai:pangaea.de:doi:10.1594/PANGAEA.552191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-11-30
oai:pangaea.de:doi:10.1594/PANGAEA.552352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-12-05
oai:pangaea.de:doi:10.1594/PANGAEA.552509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-12-11
oai:pangaea.de:doi:10.1594/PANGAEA.557786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-12-15
oai:pangaea.de:doi:10.1594/PANGAEA.558112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-12-19
oai:pangaea.de:doi:10.1594/PANGAEA.586824,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-05-07
oai:pangaea.de:doi:10.1594/PANGAEA.586834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-11-26
oai:pangaea.de:doi:10.1594/PANGAEA.586856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-01-10
oai:pangaea.de:doi:10.1594/PANGAEA.586884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-01-11
oai:pangaea.de:doi:10.1594/PANGAEA.587447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-01-18
oai:pangaea.de:doi:10.1594/PANGAEA.587448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-01-18
oai:pangaea.de:doi:10.1594/PANGAEA.587449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-01-18
oai:pangaea.de:doi:10.1594/PANGAEA.587450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2005-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.587840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-01-23
oai:pangaea.de:doi:10.1594/PANGAEA.587842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1990-11-01
oai:pangaea.de:doi:10.1594/PANGAEA.587843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1991-01-23
oai:pangaea.de:doi:10.1594/PANGAEA.587844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1991-01-26
oai:pangaea.de:doi:10.1594/PANGAEA.588236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1992-02-11
oai:pangaea.de:doi:10.1594/PANGAEA.588238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1991-01-11
oai:pangaea.de:doi:10.1594/PANGAEA.596351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-01-26
oai:pangaea.de:doi:10.1594/PANGAEA.596352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2002-01-26
oai:pangaea.de:doi:10.1594/PANGAEA.601960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2001-08-01
oai:pangaea.de:doi:10.1594/PANGAEA.601974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-01-30
oai:pangaea.de:doi:10.1594/PANGAEA.602127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-02-02
oai:pangaea.de:doi:10.1594/PANGAEA.602289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-02-12
oai:pangaea.de:doi:10.1594/PANGAEA.602431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-02-20
oai:pangaea.de:doi:10.1594/PANGAEA.603115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-02-23
oai:pangaea.de:doi:10.1594/PANGAEA.603177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-02-26
oai:pangaea.de:doi:10.1594/PANGAEA.603344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-08-17
oai:pangaea.de:doi:10.1594/PANGAEA.603345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1998-03-01
oai:pangaea.de:doi:10.1594/PANGAEA.603346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1993-09-03
oai:pangaea.de:doi:10.1594/PANGAEA.603886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-03-09
oai:pangaea.de:doi:10.1594/PANGAEA.603887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1966-03-09
oai:pangaea.de:doi:10.1594/PANGAEA.603890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1969-03-09
oai:pangaea.de:doi:10.1594/PANGAEA.603891,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1970-03-09
oai:pangaea.de:doi:10.1594/PANGAEA.603892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1970-03-09
oai:pangaea.de:doi:10.1594/PANGAEA.603998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1970-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1970-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1977-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1977-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1978-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1980-03-12
oai:pangaea.de:doi:10.1594/PANGAEA.604843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1981-03-16
oai:pangaea.de:doi:10.1594/PANGAEA.604844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1983-03-16
oai:pangaea.de:doi:10.1594/PANGAEA.604845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1984-03-16
oai:pangaea.de:doi:10.1594/PANGAEA.604846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1980-03-16
oai:pangaea.de:doi:10.1594/PANGAEA.604852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-03-16
oai:pangaea.de:doi:10.1594/PANGAEA.605207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-03-29
oai:pangaea.de:doi:10.1594/PANGAEA.605211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-03-29
oai:pangaea.de:doi:10.1594/PANGAEA.605226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1967-03-30
oai:pangaea.de:doi:10.1594/PANGAEA.605275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1969-04-02
oai:pangaea.de:doi:10.1594/PANGAEA.605402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1972-04-05
oai:pangaea.de:doi:10.1594/PANGAEA.605420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1973-04-10
oai:pangaea.de:doi:10.1594/PANGAEA.609973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1983-04-16
oai:pangaea.de:doi:10.1594/PANGAEA.609987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1983-04-17
oai:pangaea.de:doi:10.1594/PANGAEA.610008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1983-04-17
oai:pangaea.de:doi:10.1594/PANGAEA.610126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1982-04-19
oai:pangaea.de:doi:10.1594/PANGAEA.610159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1975-04-20
oai:pangaea.de:doi:10.1594/PANGAEA.610160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-04-23
oai:pangaea.de:doi:10.1594/PANGAEA.610207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1977-04-23
oai:pangaea.de:doi:10.1594/PANGAEA.611057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1971-05-02
oai:pangaea.de:doi:10.1594/PANGAEA.611082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1977-05-03
oai:pangaea.de:doi:10.1594/PANGAEA.611088,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2007-05-03
oai:pangaea.de:doi:10.1594/PANGAEA.611330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974-05-08
oai:pangaea.de:doi:10.1594/PANGAEA.611331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-05-08
oai:pangaea.de:doi:10.1594/PANGAEA.611433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974-05-11
oai:pangaea.de:doi:10.1594/PANGAEA.611462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1978-05-14
oai:pangaea.de:doi:10.1594/PANGAEA.611472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1976-05-15
oai:pangaea.de:doi:10.1594/PANGAEA.611525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1980-05-16
oai:pangaea.de:doi:10.1594/PANGAEA.611560,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-05-16
oai:pangaea.de:doi:10.1594/PANGAEA.611692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-05-21
oai:pangaea.de:doi:10.1594/PANGAEA.619042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-06-25
oai:pangaea.de:doi:10.1594/PANGAEA.619065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1987-06-26
oai:pangaea.de:doi:10.1594/PANGAEA.628536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-07-17
oai:pangaea.de:doi:10.1594/PANGAEA.633712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2008-07-27
oai:pangaea.de:doi:10.1594/PANGAEA.633713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2010-07-27
oai:pangaea.de:doi:10.1594/PANGAEA.646297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-09-04
oai:pangaea.de:doi:10.1594/PANGAEA.648716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2003-09-07
oai:pangaea.de:doi:10.1594/PANGAEA.650376,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2002-07-15
oai:pangaea.de:doi:10.1594/PANGAEA.651852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-09-11
oai:pangaea.de:doi:10.1594/PANGAEA.658956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-09-26
oai:pangaea.de:doi:10.1594/PANGAEA.659091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-09-27
oai:pangaea.de:doi:10.1594/PANGAEA.659132,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2006-09-27
oai:pangaea.de:doi:10.1594/PANGAEA.659150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-09-28
oai:pangaea.de:doi:10.1594/PANGAEA.659152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-09-28
oai:pangaea.de:doi:10.1594/PANGAEA.660529,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2007-10-02
