,,P(i),Sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,Other Category,Comment
butterflyOak,butterflies,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,oaks might be the environment in this case
,oaks,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
waterCycle,N cycle,0.5833333333333333,42,9,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,,Throughfall & Stemflow could also belong to the environment natural deciduous forest could also be environment or location
,water,0.3611111111111111,26,9,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,,
,Throughfall,0.2222222222222222,16,9,0,2,0,1,0,0,4,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameters,
,Stemflow,0.2222222222222222,16,9,0,2,0,1,0,0,4,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameters,
,Groundwater,0.19444444444444442,14,9,0,3,0,3,0,0,1,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameters,
,natural deciduous forest,0.5833333333333333,42,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,deciduous,0.41666666666666663,30,9,1,0,6,0,0,0,0,0,1,0,0,0,0,1,0,characteristic of the environment,
waspsOvipositor,ovipositor of wood wasps,0.41666666666666663,30,9,1,0,0,0,0,0,0,6,0,0,0,0,0,1,1,?,
,wood wasps,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,photographs,1.0,72,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,
,detailed drawings,0.7777777777777777,56,9,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,,
mesopelagicFish,mesopelagic fish,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,mesopelagic,0.16666666666666666,12,9,0,3,3,0,0,0,1,1,0,0,0,0,0,0,1,,
,genus Cyclothone,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bioPolymers,immediate response of microbiome,0.2222222222222222,16,9,0,0,2,0,0,0,4,0,0,0,2,0,0,1,0,reaction / interaction,
,microbiome,0.3611111111111111,26,9,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
,supplemented biopolymers,0.19444444444444442,14,9,2,0,1,4,1,0,0,0,0,0,0,0,1,0,0,,
nutrientData,nutrients,0.7777777777777777,56,9,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
mineralComp,Mineral-composition,0.4444444444444444,32,9,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,environmental parameter / variable,Mineral-composition -> quality of environment? I do not know parlochs. Might be a place or environment. mineralogy of the parlochs -> quality of environment?
,mobile colloids,0.41666666666666663,30,9,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1,,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,mineralogy of the parlochs,0.2777777777777778,20,9,0,0,2,3,0,0,0,0,0,0,0,0,0,0,4,,
,parlochs,0.19444444444444442,14,9,1,0,0,1,0,0,0,0,1,0,0,0,0,2,4,?,
biodiversityCha,biodiversity,0.25,18,9,1,0,4,0,0,0,0,0,0,0,0,0,0,3,1,variety and variability of organisms::domain::Ecosystem service,
,time,0.7777777777777777,56,9,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,quantity,
vegetationAmount,city districts,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,land use,city districts could also be environment amount of vegetation -> quality of environment?
,amount of vegetation,0.08333333333333333,6,9,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2,envoronmental parameter / variable,
,vegetation,0.3611111111111111,26,9,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,biodiversity,0.16666666666666666,12,9,1,1,3,0,0,0,0,0,0,0,0,0,0,3,1,variety and variability of organisms::Ecosystem service,
aphidoidea,Aphidoidea,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dataFB,foraminifera,0.5833333333333333,42,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
aquiferSurfaces,microbes,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer surfaces,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
geology,geology,0.3611111111111111,26,9,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,environmental parameter / environmental variable::discipline::domain,geology & soil geochemistry -> quality of environment? I am not quite sure about bacterial & archaea as it is not bacteria and archaea.
,soil geochemistry,0.3055555555555555,22,9,0,5,1,1,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / environmental variable::discipline,
,soil,0.5,36,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,,
,bacterial and archaeal nitrogen-cycling communities,0.4444444444444444,32,9,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,(species) community::biodiv. var.,
,bacterial,0.7777777777777777,56,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,archaeal,0.5833333333333333,42,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,
,nitrogen-cycling,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
plantResidalCom,aquifer microbiomes,0.3333333333333333,24,9,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,(species) community::biod. var.,aquifer microbiomes could be organism in this case; and plant environment do you mean 'residual'?
,aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,plant residal compounds,0.19444444444444442,14,9,0,2,1,4,0,0,0,1,0,0,0,0,0,0,1,,
,plant residal,0.16666666666666666,12,9,0,1,1,3,0,0,0,0,0,0,0,0,0,3,1,?,
,plant,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
paternalKin,species X,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,paternal kin,0.1111111111111111,8,9,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,?,
neonicotinoidPol,neonicotinoids,0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,,
,pollinators,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
co2Groundwater,CO2 fixation,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,CO2,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
uptakeRates,benthic oxygen uptake rate,0.19444444444444442,14,9,0,1,3,0,0,0,3,0,0,0,0,0,0,2,0,var.::Parameter,(benthic) (oxygen uptake rate) -> quality of environment?; or maybe Parameter? could also fit to (some of) the others I put in this category (A Parameter might be something that is measured by a method; input element.)
,benthic,0.4444444444444444,32,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,?,
,oxygen uptake rate,0.19444444444444442,14,9,0,1,4,0,0,0,2,0,0,0,0,0,0,1,1,var.::Parameter,
,oxygen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,Atlantic,0.611111111111111,44,9,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,,
workingArea,catchment area,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,,
,source area,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,,
,infiltration area,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,,
,rain water,0.5833333333333333,42,9,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,,
,working area,0.5833333333333333,42,9,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,,
fungalCommunity,surface fungal communities,0.41666666666666663,30,9,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,(species) community,
,surface,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,functional location,
,subsurface fungal communitie,0.41666666666666663,30,9,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,(species) community,
,subsurface,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,functional location,
InfluenceMicro,microorganism,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,CO2 isotopes,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,CO2,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
vascularPlants,forest-specific diversity of vascular plants,0.16666666666666666,12,9,2,0,3,0,0,0,0,0,0,0,0,0,0,2,2,(species) community characteristic::Ecosystem service,I am not quite sure about forest specific. I have the feeling; your categories match better with nouns (except for quality and human intervention). But this might be a problem with my thinking patterns.
,forest-specific,0.2222222222222222,16,9,0,2,4,0,0,0,0,0,2,0,0,0,0,1,0,land use,
,vascular plants,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,vascular,0.5,36,9,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,,
pollinators,abundance of pollinators,0.19444444444444442,14,9,1,0,3,0,0,2,0,0,0,0,0,0,0,3,0,(species) community characteristic::biodiversity index::biodiv. var.,
,bees,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
seasonalDi,seasonal differences of nitrogen dry and wet deposition,0.1111111111111111,8,9,0,0,3,0,0,1,2,0,0,1,0,0,0,1,1,term,seasonal differences of nitrogen dry and wet deposition -> quality of environment?::What is a template forest? I guess you meant temperate forest?
,seasonal differences,0.1111111111111111,8,9,0,0,3,0,1,0,1,0,0,1,0,0,0,2,1,term,
,nitrogen dry deposition,0.5833333333333333,42,9,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,Parameter,
,nitrogen wet deposition,0.5833333333333333,42,9,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,Parameter,
,nitrogen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,template forest,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,,
socialSystem,social system,0.1388888888888889,10,9,0,1,2,0,0,0,0,1,0,0,0,0,0,3,2,population characteristic::biod. var. / term,
,species X,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
invasiveGrasses,invasive grasses,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,functional group,
,invasive,0.5833333333333333,42,9,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,,
,Poaceae,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
domComposition,parameters,0.1388888888888889,10,9,0,0,2,1,0,2,0,0,0,0,0,0,0,3,1,parameter? (input for measurement / method)::parameters::var,DOM composition -> quality of environment?
,DOM composition,0.16666666666666666,12,9,0,1,1,3,0,0,1,0,0,0,0,0,0,3,0,environmental parameter / variable::biod. var.,
millipedes,population abundance of millipeds,0.25,18,9,0,1,4,0,0,1,0,0,0,0,0,0,0,3,0,population characteristic::biodiv. var.::Eocosystem service,
,population,0.08333333333333333,6,9,2,0,1,0,1,2,0,0,0,0,0,0,0,1,2,biodiv. var.,
,millipedes,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
orgInorg,water,0.611111111111111,44,9,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,,
,dissolved organic and inorganic,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
,year,1.0,72,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
calcareousGrass,butterfly species,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,calcareous -> quality of environment?
,calcareous grassland,0.5833333333333333,42,9,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,land use,
,calcareous,0.3333333333333333,24,9,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,,
structure,vegetation structural diversity,0.19444444444444442,14,9,0,1,2,0,0,1,0,0,0,0,0,0,0,4,1,(species) community characteristic::biodiversity index::biod. var.::Ecosystem service / Biodiversity,vegetation structural diversity & subsurface structural properties -> quality of environment?
,vegetation,0.3611111111111111,26,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,subsurface structural properties,0.1388888888888889,10,9,0,1,3,2,0,1,0,0,0,0,0,0,0,2,0,environmental property::Parameter,
,subsurface,0.3611111111111111,26,9,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,functional location,
secondaryMinerals,secondary minerals,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,all; except for secondary minarals -> quality of environment?
,pores,0.1111111111111111,8,9,0,2,2,2,0,0,0,0,2,0,0,0,0,0,1,,
,fractures,0.1111111111111111,8,9,0,2,2,2,0,0,0,0,2,0,0,0,0,0,1,,
,groundwater chemistry,0.1111111111111111,8,9,0,1,2,1,0,0,1,0,0,0,0,0,0,3,1,environmental parameter / environmental variable::domain::Ecosystem parameter,
,chemistry,0.1111111111111111,8,9,0,1,2,1,0,0,1,0,0,0,0,0,0,3,1,environmental parameter / environmental variable::domain::Ecosystem parameter,
specififcInputs,molecules,0.41666666666666663,30,9,1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,chemical element or compound,physico-chemical compositions of the groundwater -> quality of environment?
,surface,0.3333333333333333,24,9,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,functional location,
,nitrogen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,physico-chemical compositions of the groundwater,0.25,18,9,0,1,1,3,0,0,0,0,0,0,0,0,0,4,0,environmental parameter / environmental variable::Parameter,
,groundwater,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
downstreamCom,connections,0.3055555555555555,22,9,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,relation::?,connections -> quality of environment? I do not know where to put soil born.
,soil born mobile (organic) matters,0.2222222222222222,16,9,2,0,1,4,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / environmental variable::?,
,soil born,0.1388888888888889,10,9,0,2,3,0,0,0,1,0,0,0,0,0,0,1,2,,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,downstream compartments (aquifer),0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
microbialGuilds,patterns,0.2777777777777778,20,9,0,0,1,0,1,1,0,0,0,0,0,0,0,5,1,pattern,patterns -> parameter?::spatial or temporal patterns?
,trace gas release,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,trace gas,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,activity of microbial guilds,0.4444444444444444,32,9,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,,
,microbial guilds,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,functional group,
distributionHolo,distribution of Holothuroidea,0.1388888888888889,10,9,1,0,2,0,0,3,1,0,0,0,0,0,0,2,0,population characteristic::Ecosystem Parameters,
,Holothuroidea,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Atlantic Ocean,0.5,36,9,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,,
grassCut,grass cut events,0.4444444444444444,32,9,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,Management,
,grass cut,0.2777777777777778,20,9,0,1,0,0,1,0,1,0,0,0,1,0,5,0,0,Management,
,grass,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,soils,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,water,0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
subsurfaceSoils,chemolithoautotrophy,0.3333333333333333,24,9,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,,
